Training start time (UTC): 1970-01-01 02:00:00
IR,RED,Ax,Ay,Az
9456,15703,7948,-7452,-12864
11078,17988,7016,-6864,-13008
12745,20406,6268,-7140,-13000
14477,22931,6284,-6692,-13156
16322,25585,6788,-7332,-13000
18328,28428,6988,-7732,-12824
20494,31537,7176,-7312,-12688
22933,35136,7472,-7396,-12848
25815,39487,6984,-6948,-12608
29227,44827,5968,-5436,-12752
33383,51739,5368,-5724,-12616
38620,60643,4856,-6280,-12580
45350,72058,4972,-6400,-13120
53126,85285,5572,-5920,-13152
62605,101007,6544,-6172,-14348
74702,119223,7712,-8072,-11740
89666,143648,7612,-7024,-13892
106919,166473,7680,-6832,-14964
121569,178870,7528,-6792,-14928
130907,180876,6556,-5768,-14876
132330,176433,5412,-5108,-14864
132076,173801,6156,-4404,-12692
131233,170162,5908,-5208,-12872
129537,165375,6460,-4776,-13728
128683,164085,8376,-5184,-13128
128813,163175,8652,-5228,-13452
128678,162616,8448,-4676,-13108
128628,161385,8896,-5372,-12960
127626,159648,7928,-5820,-14216
126958,158564,9696,-4592,-10192
126429,157630,9700,-2540,-9652
125998,157341,10560,2696,-13156
125120,156026,8440,-2600,-19636
125266,156364,5536,-3300,-15952
125362,156677,6792,-3384,-13996
125418,156835,8476,-4976,-14288
125669,157544,9236,-4964,-12620
125790,157697,11160,-2872,-8884
125369,156706,9268,-5264,-13912
124703,155172,8804,-5672,-16176
123981,154349,10060,-5560,-13464
123721,154314,10188,-5324,-12132
123945,155165,8288,-6220,-12280
124171,156129,7924,-4904,-13384
124354,156677,12668,-4244,-12152
124488,157445,10588,-3144,-13592
125664,160222,7332,-4504,-13656
127270,162963,8648,-5524,-11856
130119,168008,9844,-6508,-12040
123992,162809,8712,-7088,-12320
124427,165674,7796,-5772,-12320
126269,171675,7992,-5392,-10876
128314,173526,9276,-3948,-12484
132159,176524,9528,-2124,-12708
135238,178525,8916,-4684,-12200
137127,176309,6496,-4224,-12384
138462,174938,9332,-5364,-13480
138619,174243,9320,-5940,-11624
139045,174495,10808,-6004,-11648
137144,174023,10728,-5068,-11916
133077,175944,10292,-6996,-12244
131758,176658,14540,956,-17568
131062,174586,10156,-6328,-15732
131220,175864,11288,-2408,-9176
130559,175958,9404,-5456,-11072
129379,175982,9868,-5176,-10896
130040,175450,11344,-4892,-10160
130340,172905,11388,-7304,-10904
129528,169966,11092,-5996,-10396
128845,168042,10396,-5768,-11672
128127,166571,10356,-4728,-12804
127863,166084,11492,-3540,-12948
127585,166207,11480,-2236,-12764
127771,166863,10556,-3960,-12516
127852,167920,9292,-7456,-10528
128172,167934,10956,-2556,-12460
