Training start time (UTC): 1970-01-01 02:00:00
IR,RED,Ax,Ay,Az
9521,11150,10916,-4720,12244
10192,12568,11236,-4840,12268
11219,14439,11188,-4800,12660
12878,17268,10508,-5364,13112
15323,20583,9452,-5792,13100
18444,23753,10212,-5968,13156
21227,26454,10200,-6456,13888
23849,29698,10084,-6488,13440
27700,34863,10056,-6444,13576
34479,43495,10016,-6184,13528
45810,56557,9976,-5724,13320
63083,73634,8664,-5096,11708
84442,88006,7580,-4852,11772
97427,94472,7868,-4972,11912
105053,95908,7168,-5564,11952
106098,95782,7480,-6184,12632
106031,94847,8080,-6248,12888
105333,93784,8348,-5800,12748
104708,92864,8584,-5112,12612
104051,92136,8844,-4748,12196
103548,91518,8612,-4508,11980
103093,90989,8412,-4224,12016
102741,90539,8744,-3900,11656
102431,90146,9076,-4372,10996
102183,89812,8924,-5820,12736
101949,89502,8912,-5484,14200
101786,89282,10200,-5812,12648
101656,89071,10376,-5632,12472
101561,88954,9588,-4928,13064
101449,88731,8864,-4004,12852
101342,88588,8620,-4084,12500
101172,88348,8368,-4504,11624
101062,88217,8040,-5480,12108
100885,87987,8244,-6888,12568
100782,87902,8312,-7524,13092
100701,87745,8736,-7228,12352
100766,87727,9272,-6984,12340
100719,87605,9412,-6584,12696
100744,87544,10060,-5496,12528
100653,87476,9584,-5388,12348
100718,87429,9236,-6256,12788
100747,87392,8848,-6932,12552
100726,87283,9348,-7168,12076
100711,87246,9936,-7568,12124
100653,87143,9776,-8856,13232
100648,87109,10272,-8100,11852
100555,86992,11328,-6756,10748
100518,86875,11804,-5936,11296
100341,86734,10824,-7368,10424
100250,86626,8908,-9736,11808
100227,86576,7980,-9644,11736
100282,86614,8204,-7324,10624
100312,86572,10704,-9256,11792
100291,86550,9000,-11044,14080
100274,86519,6924,-12860,14388
100301,86578,6900,-12692,14332
100355,86626,8000,-10100,13360
100379,86670,8784,-7448,12036
100335,86637,9188,-6788,10888
100294,86621,9832,-6976,10656
100148,86503,10236,-6632,9916
100085,86531,10176,-5772,9596
99949,86400,9980,-5424,9168
99951,86441,10552,-6944,9740
99881,86343,10712,-7736,11364
99967,86423,10804,-8200,11672
99952,86351,10516,-7612,11832
100018,86407,10332,-6920,11368
100043,86436,10040,-6220,11280
100126,86471,9400,-7316,11088
100216,86531,9968,-7956,11652
100345,86592,10556,-7336,11944
100563,86761,10596,-7548,11504
100764,86905,10696,-6952,11400
101064,87084,10464,-7048,11024
101264,87214,10104,-7740,10896
101544,87414,9588,-7228,10996
101747,87548,9612,-7096,10108
101969,87712,9644,-6572,9940
102152,87823,9360,-4056,12416
102338,87899,10308,-2380,13940
102346,87880,13588,-2420,9428
102256,87834,15452,-3076,7460
102202,87833,15416,-4816,9048
102193,87854,14512,-7324,12280
102185,87849,14716,-7924,11364
102206,87871,14476,-6304,11720
102191,87860,13208,-6024,8936
102257,87920,11924,-7664,6492
102289,87897,11668,-9068,5208
102375,87988,11532,-9936,5276
102368,88013,11444,-10316,5016
102410,88073,11676,-8528,5600
102315,87982,11608,-6724,4852
102344,88026,11292,-6436,3840
